latitude,longitude,local_government_area,year,severity,speed_limit,intersection,road_position_horizontal,road_wet,weather,crash_type,lighting,traffic_controls,casualties,fatalities,serious_injuries,minor_injuries,car_sedan,car_utility,car_van,car_4x4,car_station_wagon,motor_cycle,truck_small,truck_large,bus,taxi,bicycle,scooter,pedestrian,inanimate,train,tram
-39.06040215,174.0687694,New Plymouth District,2018,property_damage,50,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.05801149,174.0798286,New Plymouth District,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.51123179,176.8919777,Napier City,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.34860968,175.6053581,Palmerston North City,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.34860968,175.6053581,Palmerston North City,2018,property_damage,50,TRUE,straight,,rain,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.34672179,175.6274773,Palmerston North City,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.3603989,175.611429,Palmerston North City,2018,property_damage,50,TRUE,straight,,rain,,daylight,stop_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.22345121,175.5705052,Manawatu District,2018,property_damage,50,TRUE,straight,,rain,,darkness_not_lit,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.93627841,175.0577522,Wanganui District,2018,property_damage,50,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.50401879,176.8965042,Napier City,2018,property_damage,50,TRUE,straight,,fine,,darkness_not_lit,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.50401879,176.8965042,Napier City,2018,property_damage,50,TRUE,straight,,rain,,darkness_not_lit,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.0581946,174.0824318,New Plymouth District,2018,property_damage,50,TRUE,straight,,fine,,daylight,stop_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-39.0581946,174.0824318,New Plymouth District,2018,property_damage,50,TRUE,straight,,fine,,daylight,stop_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-41.26622474,173.2872534,Nelson City,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.36833688,175.6204856,Palmerston North City,2018,property_damage,50,TRUE,straight,,rain,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.91550397,175.0072953,Kapiti Coast District,2018,property_damage,50,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.91550397,175.0072953,Kapiti Coast District,2018,property_damage,50,TRUE,straight,,fine,,daylight,traffic_lights,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.94540705,174.8354653,Auckland,2018,property_damage,50,TRUE,straight,,rain,,daylight,stop_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.93628888,174.8352578,Auckland,2018,property_damage,50,TRUE,curved_view_open,,fine,,daylight,stop_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.76866018,174.7367179,Auckland,2018,property_damage,50,TRUE,straight,,fine,,daylight,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.02460014,174.895429,Auckland,2018,property_damage,50,TRUE,straight,,rain,,darkness_not_lit,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.92711968,174.8979293,Auckland,2018,property_damage,60,TRUE,straight,,rain,,darkness_not_lit,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-36.86347596,174.7297533,Auckland,2018,property_damage,50,TRUE,curved_view_open,,rain,,dawn_dusk,giveway_sign,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
