latitude,longitude,local_government_area,statistical_area,crash_id,date_time_id,description_id,vehicles_id,casualties_id,year
-41.28613566,174.002265,Marlborough District,581100,NZ662632,2018----,966971,1c2i,0c,2018
-41.57007985,173.7527015,Marlborough District,580444,NZ662633,2018----,966972,1c1i,0c,2018
-38.1564088,176.2633302,Rotorua District,540600,NZ662634,2018----,966973,1i,0c,2018
-38.04463293,175.7822582,South Waikato District,535600,NZ662636,2018----,966975,1c,0c,2018
-38.68018457,176.0630755,Taupo District,541710,NZ662638,2018----,966977,1c2i,0c,2018
-38.69767933,176.0822848,Taupo District,541740,NZ662642,2018----,966981,2f,0c,2018
-35.21320737,173.9617344,Far North District,500900,NZ662644,2018----,966983,1i,0c,2018
-41.12272607,175.0377196,Upper Hutt City,567600,NZ662645,2018----,966984,2c,0c,2018
-40.87063395,175.0706332,Kapiti Coast District,563703,NZ662646,2018----,966985,1c1i,0c,2018
-41.11124387,174.8614731,Porirua City,571500,NZ662647,2018----,966986,1c1o,0c,2018
-41.17927877,174.9537545,Hutt City,568202,NZ662648,2018----,966987,2c1i,0c,2018
-41.15614785,175.0737684,Upper Hutt City,567902,NZ662649,2018----,966988,1c1i,0c,2018
-41.11557757,175.0783622,Upper Hutt City,567000,NZ662654,2018----,966993,2c,0c,2018
-36.87938753,174.7675303,Auckland,515700,NZ662655,2018----,966994,1c1f1i,0c,2018
-35.24249043,173.8653943,Far North District,501633,NZ662656,2018----,966995,1c3i,0c,2018
-37.04013005,174.9077666,Auckland,523920,NZ662659,2018----,966998,2c,0c,2018
-35.64320561,174.4250532,Whangarei District,501814,NZ662660,2018----,966999,1c2i,0c,2018
-36.78668205,174.7364635,Auckland,508620,NZ662661,2018----,967000,1c1i,0c,2018
-36.95304229,174.8464411,Auckland,521901,NZ662663,2018----,967002,1c1i1o,0c,2018
-36.91314468,174.8467694,Auckland,520500,NZ662666,2018----,967005,2c1i,0c,2018
-37.02529508,174.8902866,Auckland,525001,NZ662667,2018----,967006,2f1i,0c,2018
-36.95984252,174.925034,Auckland,523111,NZ662668,2018----,967007,1c1i,0c,2018
-36.99984153,174.8727103,Auckland,524601,NZ662673,2018----,967012,1c1f,0c,2018
-36.92933044,174.9151725,Auckland,523106,NZ662674,2018----,967013,1c1f,0c,2018
-37.02813176,174.9101306,Auckland,523817,NZ662675,2018----,967014,1c,0c,2018
-45.02378846,168.6980898,Queenstown-Lakes District,609302,NZ662677,2018----,967016,1c1f,0c,2018
-44.69649655,169.1622201,Queenstown-Lakes District,608800,NZ662679,2018----,967018,,0c,2018
-37.7385105,175.2395233,Hamilton City,528320,NZ662681,2018----,967020,1c2i,0c,2018
-41.7965124,172.5113808,Tasman District,581842,NZ662682,2018----,967021,1c2i,0c,2018
-42.09103117,171.3466397,Buller District,584411,NZ662683,2018----,967022,2i,0c,2018
-40.99719564,175.6035921,Carterton District,579400,NZ662685,2018----,967024,1f1i,0c,2018
-43.46369848,170.019745,Westland District,585313,NZ662686,2018----,967025,2c,0c,2018
-35.93482741,173.8692856,Kaipara District,504600,NZ662693,2018----,967032,1c2i,0c,2018
-36.9262636,174.7506607,Auckland,518702,NZ662694,2018----,967033,,0c,2018
-37.06740565,174.9409428,Auckland,525410,NZ662695,2018----,967034,2c1i,0c,2018
-36.89105666,174.7048465,Auckland,514401,NZ662697,2018----,967036,2c,0c,2018
-37.68113643,175.1957863,Waikato District,527123,NZ662698,2018----,967037,1c1o,0c,2018
-36.83899364,174.7422098,Auckland,515202,NZ662699,2018----,967038,2c,0c,2018
-36.8289468,174.7469042,Auckland,617901,NZ662701,2018----,967040,2c,0c,2018
-39.17568444,175.4023882,Ruapehu District,532601,NZ662702,2018----,967041,1c1i,0c,2018
-40.73419463,175.1934689,Kapiti Coast District,564022,NZ662703,2018----,967042,1T,0c,2018
